,Symbol  ,Date  ,Expiry  ,Strike Price  ,Call Price,Put Price
0,NIFTY,15-Mar-2023,16-Mar-2023,19550.0,0.9,1567.2
1,NIFTY,15-Mar-2023,16-Mar-2023,19500.0,1.2,2441.35
2,NIFTY,15-Mar-2023,16-Mar-2023,19450.0,1.15,1476.75
3,NIFTY,15-Mar-2023,16-Mar-2023,19400.0,1.15,1432.05
4,NIFTY,15-Mar-2023,16-Mar-2023,19350.0,1.15,1387.75
5,NIFTY,15-Mar-2023,16-Mar-2023,19300.0,1.25,2241.55
6,NIFTY,15-Mar-2023,16-Mar-2023,19250.0,1.25,1300.35
7,NIFTY,15-Mar-2023,16-Mar-2023,19200.0,1.3,1780.1
8,NIFTY,15-Mar-2023,16-Mar-2023,19150.0,1.35,1500.0
9,NIFTY,15-Mar-2023,16-Mar-2023,19100.0,1.35,1172.7
10,NIFTY,15-Mar-2023,16-Mar-2023,19050.0,1.35,1131.2
11,NIFTY,15-Mar-2023,16-Mar-2023,19000.0,1.4,2022.6
12,NIFTY,15-Mar-2023,16-Mar-2023,18950.0,1.25,1049.75
13,NIFTY,15-Mar-2023,16-Mar-2023,18900.0,1.25,1805.05
14,NIFTY,15-Mar-2023,16-Mar-2023,18850.0,1.3,1649.0
15,NIFTY,15-Mar-2023,16-Mar-2023,18800.0,1.25,1749.7
16,NIFTY,15-Mar-2023,16-Mar-2023,18750.0,1.35,1076.15
17,NIFTY,15-Mar-2023,16-Mar-2023,18700.0,1.25,1544.95
18,NIFTY,15-Mar-2023,16-Mar-2023,18650.0,1.4,1506.4
19,NIFTY,15-Mar-2023,16-Mar-2023,18600.0,1.5,1548.55
20,NIFTY,15-Mar-2023,16-Mar-2023,18550.0,1.45,1463.35
21,NIFTY,15-Mar-2023,16-Mar-2023,18500.0,1.5,1502.65
22,NIFTY,15-Mar-2023,16-Mar-2023,18450.0,1.45,1405.0
23,NIFTY,15-Mar-2023,16-Mar-2023,18400.0,1.55,1363.7
24,NIFTY,15-Mar-2023,16-Mar-2023,18350.0,1.55,1376.0
25,NIFTY,15-Mar-2023,16-Mar-2023,18300.0,1.6,1331.2
26,NIFTY,15-Mar-2023,16-Mar-2023,18250.0,1.45,1099.0
27,NIFTY,15-Mar-2023,16-Mar-2023,18200.0,1.45,1222.4
28,NIFTY,15-Mar-2023,16-Mar-2023,18150.0,1.55,1187.7
29,NIFTY,15-Mar-2023,16-Mar-2023,18100.0,1.6,1117.95
30,NIFTY,15-Mar-2023,16-Mar-2023,18050.0,1.55,964.85
31,NIFTY,15-Mar-2023,16-Mar-2023,18000.0,1.7,1029.7
32,NIFTY,15-Mar-2023,16-Mar-2023,17950.0,1.6,975.15
33,NIFTY,15-Mar-2023,16-Mar-2023,17900.0,1.75,920.0
34,NIFTY,15-Mar-2023,16-Mar-2023,17850.0,1.75,851.15
35,NIFTY,15-Mar-2023,16-Mar-2023,17800.0,1.85,830.0
36,NIFTY,15-Mar-2023,16-Mar-2023,17750.0,1.95,775.1
37,NIFTY,15-Mar-2023,16-Mar-2023,17700.0,2.05,726.3
38,NIFTY,15-Mar-2023,16-Mar-2023,17650.0,2.05,672.45
39,NIFTY,15-Mar-2023,16-Mar-2023,17600.0,2.2,625.4
40,NIFTY,15-Mar-2023,16-Mar-2023,17550.0,2.4,576.1
41,NIFTY,15-Mar-2023,16-Mar-2023,17500.0,2.65,527.5
42,NIFTY,15-Mar-2023,16-Mar-2023,17450.0,2.85,471.75
43,NIFTY,15-Mar-2023,16-Mar-2023,17400.0,3.2,426.35
44,NIFTY,15-Mar-2023,16-Mar-2023,17350.0,3.65,377.15
45,NIFTY,15-Mar-2023,16-Mar-2023,17300.0,4.65,324.3
46,NIFTY,15-Mar-2023,16-Mar-2023,17250.0,6.3,277.8
47,NIFTY,15-Mar-2023,16-Mar-2023,17200.0,9.4,226.85
48,NIFTY,15-Mar-2023,16-Mar-2023,17150.0,14.45,180.8
49,NIFTY,15-Mar-2023,16-Mar-2023,17100.0,23.15,137.45
50,NIFTY,15-Mar-2023,16-Mar-2023,17050.0,36.55,101.3
51,NIFTY,15-Mar-2023,16-Mar-2023,17000.0,54.75,72.25
52,NIFTY,15-Mar-2023,16-Mar-2023,16950.0,78.6,50.45
53,NIFTY,15-Mar-2023,16-Mar-2023,16900.0,112.35,33.3
54,NIFTY,15-Mar-2023,16-Mar-2023,16850.0,149.25,21.1
55,NIFTY,15-Mar-2023,16-Mar-2023,16800.0,190.4,13.3
56,NIFTY,15-Mar-2023,16-Mar-2023,16750.0,233.3,8.15
57,NIFTY,15-Mar-2023,16-Mar-2023,16700.0,281.15,5.4
58,NIFTY,15-Mar-2023,16-Mar-2023,16650.0,338.4,3.75
59,NIFTY,15-Mar-2023,16-Mar-2023,16600.0,383.9,2.9
60,NIFTY,15-Mar-2023,16-Mar-2023,16550.0,432.05,2.25
61,NIFTY,15-Mar-2023,16-Mar-2023,16500.0,477.65,1.9
62,NIFTY,15-Mar-2023,16-Mar-2023,16450.0,540.95,1.55
63,NIFTY,15-Mar-2023,16-Mar-2023,16400.0,576.55,1.25
64,NIFTY,15-Mar-2023,16-Mar-2023,16350.0,710.55,1.15
65,NIFTY,15-Mar-2023,16-Mar-2023,16300.0,696.2,0.9
66,NIFTY,15-Mar-2023,16-Mar-2023,16250.0,724.8,0.85
67,NIFTY,15-Mar-2023,16-Mar-2023,16200.0,811.25,0.8
68,NIFTY,15-Mar-2023,16-Mar-2023,16150.0,811.5,0.7
69,NIFTY,15-Mar-2023,16-Mar-2023,16100.0,971.7,0.65
70,NIFTY,15-Mar-2023,16-Mar-2023,16050.0,1009.15,0.55
71,NIFTY,15-Mar-2023,16-Mar-2023,16000.0,975.75,0.55
72,NIFTY,15-Mar-2023,16-Mar-2023,15950.0,1108.05,0.5
73,NIFTY,15-Mar-2023,16-Mar-2023,15900.0,1055.9,0.45
74,NIFTY,15-Mar-2023,16-Mar-2023,15850.0,1208.65,0.4
75,NIFTY,15-Mar-2023,16-Mar-2023,15800.0,1272.95,0.4
76,NIFTY,15-Mar-2023,16-Mar-2023,15750.0,2256.1,0.3
77,NIFTY,15-Mar-2023,16-Mar-2023,15700.0,2305.1,0.25
78,NIFTY,15-Mar-2023,16-Mar-2023,15650.0,2354.2,0.3
79,NIFTY,15-Mar-2023,16-Mar-2023,15600.0,2403.4,0.25
80,NIFTY,15-Mar-2023,16-Mar-2023,15550.0,2452.65,0.3
81,NIFTY,15-Mar-2023,23-Mar-2023,19550.0,2.3,1438.45
82,NIFTY,15-Mar-2023,23-Mar-2023,19500.0,2.45,2395.0
83,NIFTY,15-Mar-2023,23-Mar-2023,19450.0,2.5,1350.05
84,NIFTY,15-Mar-2023,23-Mar-2023,19400.0,2.4,1306.5
85,NIFTY,15-Mar-2023,23-Mar-2023,19350.0,1.9,1263.35
86,NIFTY,15-Mar-2023,23-Mar-2023,19300.0,2.4,1220.75
