Date,ASIANPAINT.NS,AXISBANK.NS,CIPLA.NS,HDFCBANK.NS,INFY.NS,ITC.NS,NESTLEIND.NS,SBIN.NS,TATAMOTORS.NS,TITAN.NS,Nifty
1/1/2019,499.75,258.440002,401.75,332.575012,433.5,214.933334,5311.799805,176.505005,370.970978,230.800003,6221.149902
1/2/2019,485.549988,254.460007,392.299988,328.5,435.068756,209.96666,5280.149902,174.259995,368.39856,226.350006,6211.149902
1/3/2019,489.5,252.179993,391.75,331.549988,445.643738,209.833328,5333.600098,171.964996,358.850952,227.399994,6191.450195
1/6/2019,490.649994,251.259995,391.600006,330.850006,439.737488,210.433334,5387.649902,168.815002,363.055847,227.800003,6162.25
1/7/2019,489.950012,246.850006,390.850006,332.200012,432.143738,211.133331,5381.899902,166.139999,361.225494,226.050003,6174.600098
1/8/2019,490.5,242.350006,404.200012,332.350006,428.512512,211.233337,5422.399902,165.714996,366.320831,222.75,6168.350098
1/9/2019,490.100006,236.970001,403.100006,331.475006,431.350006,210.399994,5372.850098,163.979996,364.045258,223.850006,6171.450195
1/10/2019,492,232.809998,399.100006,331.024994,443.90625,215.066666,5405.950195,160.815002,363.105347,220.25,6272.75
1/13/2019,494.049988,236.979996,402.25,336.424988,458.125,216.96666,5426.899902,164.125,372.158234,221.100006,6241.850098
1/14/2019,487.399994,235.410004,411.149994,336.149994,460.84375,216.300003,5379.450195,162.75,367.854401,221,6320.899902
1/15/2019,493.5,235.660004,418.049988,340.274994,464.006256,219.233337,5237.149902,164.070007,373.296021,218.050003,6318.899902
1/16/2019,495.600006,235.229996,412.649994,336.524994,465.631256,217,5130.350098,163.619995,365.826141,218.199997,6261.649902
1/17/2019,491.549988,230.589996,417.600006,332.5,466.21875,216.566666,5238.049805,162.154999,365.776672,217.050003,6303.950195
1/20/2019,490,232.639999,419.850006,335.024994,468.662506,220.133331,5200.899902,164.184998,370.921509,216.5,6313.799805
1/21/2019,479.25,237.710007,417.399994,338.049988,469.793762,219.366669,5177.25,165.949997,380.716431,217.800003,6338.950195
1/22/2019,472.600006,237.770004,422.700012,338.549988,470.737488,218.233337,5144.799805,164.684998,382.002625,217.350006,6345.649902
1/23/2019,473,243.199997,419.549988,339.75,474.0625,219.300003,5083.549805,165.830002,379.529175,225.350006,6266.75
1/24/2019,478.100006,240.919998,414.399994,336.700012,469.768738,216.166672,5081.200195,162.119995,366.469238,218.699997,6135.850098
1/27/2019,476.399994,232.220001,415,324.600006,466.524994,216.133331,5050.100098,159.449997,344.554321,215.850006,6126.25
1/28/2019,476.799988,224.350006,409.25,322.225006,459.387512,217.766663,4959.350098,159.630005,352.469421,217,6120.25
1/29/2019,482.899994,228.050003,414.5,322.725006,464.725006,216.666672,5033.200195,157.365005,348.017181,214.649994,6073.700195
1/30/2019,477.5,221.759995,413.450012,315.899994,463.03125,216.399994,4945.799805,151.660004,357.911041,222.800003,6089.5
1/31/2019,471.700012,224.589996,410.600006,314.25,462.637512,216.733337,5047.149902,152.384995,345.840515,221.550003,6001.799805
