Symbol,Date,Expiry,Strike Price,Call Price,Put Price,Stock Price
TATAMOTORS,1/1/2019,1/30/2019,400,4.85,24.5,369.242859
TATAMOTORS,1/1/2019,2/26/2019,400,11.3,32,369.242859
TATAMOTORS,1/1/2019,3/27/2019,400,16.65,37.4,369.242859
TATAMOTORS,1/2/2019,1/30/2019,400,4,30,369.242859
TATAMOTORS,1/2/2019,2/26/2019,400,10.2,32,369.242859
TATAMOTORS,1/2/2019,3/27/2019,400,16.65,37.4,369.242859
TATAMOTORS,1/3/2019,1/30/2019,400,2.45,35.9,369.242859
TATAMOTORS,1/3/2019,2/26/2019,400,8,40,369.242859
TATAMOTORS,1/3/2019,3/27/2019,400,16.65,37.4,369.242859
TATAMOTORS,1/6/2019,1/30/2019,400,2.65,35.9,369.242859
TATAMOTORS,1/6/2019,2/26/2019,400,9,40,369.242859
TATAMOTORS,1/6/2019,3/27/2019,400,16.65,37.4,369.242859
TATAMOTORS,1/7/2019,1/30/2019,400,2.35,35.9,366.682404
TATAMOTORS,1/7/2019,2/26/2019,400,9,40,366.682404
TATAMOTORS,1/7/2019,3/27/2019,400,16.65,37.4,366.682404
TATAMOTORS,1/8/2019,1/30/2019,400,2.6,35.9,366.682404
TATAMOTORS,1/8/2019,2/26/2019,400,9,40,366.682404
TATAMOTORS,1/8/2019,3/27/2019,400,16.65,37.4,366.682404
TATAMOTORS,1/9/2019,1/30/2019,400,1.95,35.9,366.682404
TATAMOTORS,1/9/2019,2/26/2019,400,9,40,366.682404
TATAMOTORS,1/9/2019,3/27/2019,400,16.65,37.4,366.682404
TATAMOTORS,1/10/2019,1/30/2019,400,1.5,35.9,366.682404
TATAMOTORS,1/10/2019,2/26/2019,400,6.5,40,366.682404
TATAMOTORS,1/10/2019,3/27/2019,400,16.65,37.4,366.682404
TATAMOTORS,1/13/2019,1/30/2019,400,2.8,24.5,357.179291
TATAMOTORS,1/13/2019,2/26/2019,400,8.4,30,357.179291
TATAMOTORS,1/13/2019,3/27/2019,400,16.65,37.4,357.179291
TATAMOTORS,1/14/2019,1/30/2019,400,1.85,24.5,357.179291
TATAMOTORS,1/14/2019,2/26/2019,400,7.85,30,357.179291
TATAMOTORS,1/14/2019,3/27/2019,400,16.65,37.4,357.179291
TATAMOTORS,1/15/2019,1/30/2019,400,2.2,24.5,357.179291
TATAMOTORS,1/15/2019,2/26/2019,400,8.45,30,357.179291
TATAMOTORS,1/15/2019,3/27/2019,400,16.65,37.4,357.179291
TATAMOTORS,1/16/2019,1/30/2019,400,1.3,24.5,357.179291
TATAMOTORS,1/16/2019,2/26/2019,400,6.45,30,357.179291
TATAMOTORS,1/16/2019,3/27/2019,400,16.65,37.4,357.179291
TATAMOTORS,1/17/2019,1/30/2019,400,0.8,24.5,361.364594
TATAMOTORS,1/17/2019,2/26/2019,400,5.25,30,361.364594
TATAMOTORS,1/17/2019,3/27/2019,400,16.65,37.4,361.364594
TATAMOTORS,1/20/2019,1/30/2019,400,0.95,24.5,361.364594
TATAMOTORS,1/20/2019,2/26/2019,400,6.4,30,361.364594
TATAMOTORS,1/20/2019,3/27/2019,400,16.65,37.4,361.364594
TATAMOTORS,1/21/2019,1/30/2019,400,2.5,17.8,361.364594
TATAMOTORS,1/21/2019,2/26/2019,400,9.75,20.45,361.364594
TATAMOTORS,1/21/2019,3/27/2019,400,16.65,37.4,361.364594
TATAMOTORS,1/22/2019,1/30/2019,400,2.45,16,361.364594
TATAMOTORS,1/22/2019,2/26/2019,400,10.25,21,361.364594
